iter	Logloss
0	0.6894043142
1	0.6842288971
2	0.6793251038
3	0.67351584
4	0.6677160263
5	0.6629012715
6	0.6578401219
7	0.6535303809
8	0.6497581222
9	0.6457250335
10	0.6420102119
11	0.6378452995
12	0.6339493665
13	0.6298670335
14	0.6263748516
15	0.621997183
16	0.617386948
17	0.6131925149
18	0.6091784564
19	0.6051267711
20	0.6020971212
21	0.5985782797
22	0.5951643424
23	0.5923029293
24	0.5892055685
25	0.5850759853
26	0.5804294239
27	0.5777923411
28	0.5751856891
29	0.5710703243
30	0.5675451105
31	0.5639323321
32	0.5603840568
33	0.5565720905
34	0.5542131771
35	0.5518059731
36	0.5473307263
37	0.5436968803
38	0.5391795418
39	0.5360201489
40	0.5326764367
41	0.5304180926
42	0.5284650109
43	0.5259376006
44	0.5231660496
45	0.5198489102
46	0.5171655308
47	0.5147078254
48	0.5120730834
49	0.5088154186
50	0.5061202483
51	0.5040592714
52	0.5016989274
53	0.4992147792
54	0.4963640733
55	0.4939534881
56	0.4906046607
57	0.4886054993
58	0.4858577902
59	0.4831510024
60	0.4808013222
61	0.4787592454
62	0.4766589078
63	0.4742101323
64	0.4700647701
65	0.4671964645
66	0.464617079
67	0.462712548
68	0.4603443579
69	0.4579890858
70	0.4552717642
71	0.4532337189
72	0.4508100423
73	0.4484213049
74	0.4464986108
75	0.4441992153
76	0.4425528266
77	0.4398513274
78	0.4379855069
79	0.4358040636
80	0.4331424887
81	0.4299234043
82	0.4278175181
83	0.4252499667
84	0.4229063554
85	0.4208757661
86	0.4186004725
87	0.4166981524
88	0.4151407589
89	0.4131247781
90	0.4108091701
91	0.4085453207
92	0.4069844159
93	0.4058791074
94	0.4045581818
95	0.4027637135
96	0.4006853537
97	0.3989796205
98	0.3973226547
99	0.3955533721
