iter	Passed	Remaining
0	2	213
1	3	188
2	5	167
3	6	155
4	7	150
5	9	143
6	10	138
7	11	137
8	13	133
9	14	131
10	15	128
11	17	127
12	18	125
13	20	123
14	21	121
15	22	119
16	24	117
17	25	116
18	26	114
19	28	112
20	29	110
21	30	108
22	31	107
23	33	105
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	96
30	42	94
31	43	92
32	45	91
33	46	90
34	48	89
35	49	87
36	50	86
37	51	84
38	52	82
39	54	81
40	55	79
41	56	78
42	58	77
43	59	75
44	60	74
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	67	65
51	69	64
52	71	63
53	73	62
54	74	61
55	76	60
56	78	59
57	80	57
58	81	56
59	83	55
60	84	54
61	86	52
62	88	52
63	90	51
64	91	49
65	93	48
66	94	46
67	96	45
68	97	43
69	99	42
70	101	41
71	102	39
72	103	38
73	105	37
74	108	36
75	109	34
76	111	33
77	112	31
78	114	30
79	116	29
80	118	27
81	120	26
82	121	24
83	122	23
84	124	21
85	125	20
86	127	19
87	129	17
88	131	16
89	132	14
90	134	13
91	136	11
92	137	10
93	140	8
94	141	7
95	143	5
96	144	4
97	146	2
98	148	1
99	149	0
